tablet_a,tablet_b,designation_a,designation_b,ruler,regnal_year,month,day,total_animals,tx_a,tx_b,source_match,receiver_match,anchors_matched,match_strength
102261,105919,"ASJ 08, 307 2","BIN 03, 113",Amar-Suen,5,2,1,8,transfer,transfer,1,1,date|quantity|source|receiver,4
102953,109673,"AUCT 1, 107",Hirose 202,Amar-Suen,5,6,7,3,transfer,transfer,1,1,date|quantity|source|receiver,4
103104,211344,"AUCT 1, 259","BPOA 07, 1945",Amar-Suen,6,11,4,14,transfer,transfer,1,1,date|quantity|source|receiver,4
103310,389867,"AUCT 1, 465",LB 2242,Amar-Suen,3,10,13,12,transfer,transfer,1,1,date|quantity|source|receiver,4
103411,105152,"AUCT 1, 566","BCT 1, 050",Amar-Suen,8,2,21,1,transfer,transfer,1,1,date|quantity|source|receiver,4
103422,390100,"AUCT 1, 577",LB 3032,Amar-Suen,1,12,9,52,transfer,transfer,1,1,date|quantity|source|receiver,4
103441,126344,"AUCT 1, 596","PDT 2, 0999",Amar-Suen,7,8,16,14,transfer,transfer,1,1,date|quantity|source|receiver,4
103518,142431,"AUCT 1, 673","YOS 18, 037",Amar-Suen,4,12,12,1,transfer,transfer,1,1,date|quantity|source|receiver,4
103551,320907,"AUCT 1, 706","Nisaba 08, 313",Amar-Suen,4,12,18,13,transfer,transfer,1,1,date|quantity|source|receiver,4
103654,126590,"AUCT 1, 809","PDT 2, 1262",Amar-Suen,4,1,25,6,transfer,transfer,1,1,date|quantity|source|receiver,4
103677,464283,"AUCT 1, 832","AuOr 31, 232 03",Amar-Suen,5,3,15,1,transfer,transfer,1,1,date|quantity|source|receiver,4
103680,519457,"AUCT 1, 835","Akkadica 140, 073-098 11",Amar-Suen,2,8,11,4,transfer,transfer,1,1,date|quantity|source|receiver,4
103990,123879,"AUCT 2, 172","OIP 121, 149",Amar-Suen,4,1,3,12,transfer,transfer,1,1,date|quantity|source|receiver,4
105153,407587,"BCT 1, 051","HSS 68, 616",Amar-Suen,8,4,17,10,transfer,transfer,1,1,date|quantity|source|receiver,4
105837,389879,"BIN 03, 030",LB 2259,Amar-Suen,1,10,10,22,transfer,transfer,1,1,date|quantity|source|receiver,4
105841,145560,"BIN 03, 034",Ripon 4,Amar-Suen,1,5,5,1,transfer,transfer,1,1,date|quantity|source|receiver,4
105865,389885,"BIN 03, 059",LB 2266,Amar-Suen,2,7,21,3,transfer,transfer,1,1,date|quantity|source|receiver,4
105900,127451,"BIN 03, 094","RA 009, 049 SA 117",Amar-Suen,4,4,25,3,transfer,transfer,1,1,date|quantity|source|receiver,4
105906,143993,"BIN 03, 100","SAT 2, 0793",Amar-Suen,4,8,5,5,transfer,transfer,1,1,date|quantity|source|receiver,4
105918,143113,"BIN 03, 112","MVN 20, 180",Amar-Suen,5,7,16,15,transfer,transfer,1,1,date|quantity|source|receiver,4
105931,210431,"BIN 03, 125","BPOA 06, 0651",Amar-Suen,5,9,28,3,transfer,transfer,1,1,date|quantity|source|receiver,4
106092,303610,"BIN 03, 286","BPOA 07, 2827",Amar-Suen,6,3,27,3,transfer,transfer,1,1,date|quantity|source|receiver,4
106134,106265,"BIN 03, 328","BIN 03, 458",Šū-Suen,8,2,5,3,receipt,receipt,1,1,date|quantity|source|receiver,4
107778,332545,CST 264,"PDT 2, 0858",Amar-Suen,3,1,11,118,transfer,transfer,1,1,date|quantity|source|receiver,4
107802,407610,CST 288,"HSS 68, 639",Amar-Suen,4,7,8,6,transfer,transfer,1,1,date|quantity|source|receiver,4
